config_id,label,sd,hs,mcs,regime,count,pct_of_total,avg_net_pnl,total_net_pnl,avg_mfe,avg_mae
50,depth_0,20.00,60.00,1,clean_rotation,3111,0.44,398.17,1238721.50,80.33,23.53
50,depth_0,20.00,60.00,1,martingale_save,0,0.00,0.00,0.00,0.00,0.00
50,depth_0,20.00,60.00,1,fast_trend,3941,0.56,-304.72,-1200913.50,28.43,60.24
50,depth_0,20.00,60.00,1,trend_overcame,0,0.00,0.00,0.00,0.00,0.00
50,depth_0,20.00,60.00,1,eod_incomplete,36,0.01,37.33,1344.00,45.42,30.81
50,depth_0,20.00,60.00,1,data_end,0,0.00,0.00,0.00,0.00,0.00
27,depth_0,15.00,60.00,1,clean_rotation,5323,0.51,298.67,1589814.50,60.43,22.42
27,depth_0,15.00,60.00,1,martingale_save,0,0.00,0.00,0.00,0.00,0.00
27,depth_0,15.00,60.00,1,fast_trend,5085,0.49,-304.75,-1549672.50,22.46,60.25
27,depth_0,15.00,60.00,1,trend_overcame,0,0.00,0.00,0.00,0.00,0.00
27,depth_0,15.00,60.00,1,eod_incomplete,43,0.00,11.62,499.50,30.30,31.21
27,depth_0,15.00,60.00,1,data_end,0,0.00,0.00,0.00,0.00,0.00
72,depth_0,25.00,25.00,1,clean_rotation,1500,0.21,498.12,747175.00,100.32,11.07
72,depth_0,25.00,25.00,1,martingale_save,0,0.00,0.00,0.00,0.00,0.00
72,depth_0,25.00,25.00,1,fast_trend,5626,0.79,-129.80,-730246.00,24.91,25.26
72,depth_0,25.00,25.00,1,trend_overcame,0,0.00,0.00,0.00,0.00,0.00
72,depth_0,25.00,25.00,1,eod_incomplete,23,0.00,121.50,2794.50,58.13,12.17
72,depth_0,25.00,25.00,1,data_end,0,0.00,0.00,0.00,0.00,0.00
79,depth_1,25.00,125.00,2,clean_rotation,1586,0.50,497.83,789554.00,100.27,36.84
79,depth_1,25.00,125.00,2,martingale_save,710,0.22,495.73,351965.00,58.34,102.49
79,depth_1,25.00,125.00,2,fast_trend,0,0.00,0.00,0.00,0.00,0.00
79,depth_1,25.00,125.00,2,trend_overcame,818,0.26,-1259.40,-1030191.00,38.11,125.24
79,depth_1,25.00,125.00,2,eod_incomplete,51,0.02,-123.41,-6294.00,54.95,65.20
79,depth_1,25.00,125.00,2,data_end,0,0.00,0.00,0.00,0.00,0.00
107,depth_1,30.00,360.00,2,clean_rotation,747,0.51,597.64,446435.50,120.23,46.01
107,depth_1,30.00,360.00,2,martingale_save,500,0.34,595.18,297590.00,68.37,162.19
107,depth_1,30.00,360.00,2,fast_trend,0,0.00,0.00,0.00,0.00,0.00
107,depth_1,30.00,360.00,2,trend_overcame,175,0.12,-3609.14,-631600.00,47.10,360.21
107,depth_1,30.00,360.00,2,eod_incomplete,56,0.04,-697.63,-39067.50,56.29,156.32
107,depth_1,30.00,360.00,2,data_end,0,0.00,0.00,0.00,0.00,0.00
34,depth_1,15.00,150.00,2,clean_rotation,3199,0.51,298.82,955923.50,60.46,22.16
34,depth_1,15.00,150.00,2,martingale_save,2076,0.33,295.71,613903.00,34.63,77.39
34,depth_1,15.00,150.00,2,fast_trend,0,0.00,0.00,0.00,0.00,0.00
34,depth_1,15.00,150.00,2,trend_overcame,989,0.16,-1509.26,-1492663.00,25.06,150.23
34,depth_1,15.00,150.00,2,eod_incomplete,56,0.01,-246.86,-13824.00,30.68,62.89
34,depth_1,15.00,150.00,2,data_end,0,0.00,0.00,0.00,0.00,0.00
109,depth_2,30.00,225.00,4,clean_rotation,924,0.50,598.15,552691.00,120.33,44.11
109,depth_2,30.00,225.00,4,martingale_save,663,0.36,592.58,392881.00,62.92,147.91
109,depth_2,30.00,225.00,4,fast_trend,0,0.00,0.00,0.00,0.00,0.00
109,depth_2,30.00,225.00,4,trend_overcame,190,0.10,-4518.97,-858605.00,52.10,225.25
109,depth_2,30.00,225.00,4,eod_incomplete,55,0.03,-326.42,-17953.00,58.73,86.07
109,depth_2,30.00,225.00,4,data_end,0,0.00,0.00,0.00,0.00,0.00
86,depth_2,25.00,225.00,4,clean_rotation,1212,0.49,497.82,603358.00,100.26,38.20
86,depth_2,25.00,225.00,4,martingale_save,961,0.39,492.97,473745.00,52.46,127.06
86,depth_2,25.00,225.00,4,fast_trend,0,0.00,0.00,0.00,0.00,0.00
86,depth_2,25.00,225.00,4,trend_overcame,221,0.09,-4518.64,-998619.00,45.16,225.23
86,depth_2,25.00,225.00,4,eod_incomplete,57,0.02,-409.39,-23335.50,48.82,82.92
86,depth_2,25.00,225.00,4,data_end,0,0.00,0.00,0.00,0.00,0.00
36,depth_2,15.00,90.00,4,clean_rotation,4180,0.51,298.77,1248855.00,60.45,21.95
36,depth_2,15.00,90.00,4,martingale_save,2013,0.25,296.22,596284.00,34.24,64.23
36,depth_2,15.00,90.00,4,fast_trend,0,0.00,0.00,0.00,0.00,0.00
36,depth_2,15.00,90.00,4,trend_overcame,1955,0.24,-909.95,-1778950.00,24.04,90.29
36,depth_2,15.00,90.00,4,eod_incomplete,52,0.01,-100.58,-5230.00,27.94,43.43
36,depth_2,15.00,90.00,4,data_end,0,0.00,0.00,0.00,0.00,0.00
141,depth_3,50.00,700.00,8,clean_rotation,282,0.49,997.12,281188.00,200.12,80.42
141,depth_3,50.00,700.00,8,martingale_save,227,0.39,987.56,224175.00,101.47,272.99
141,depth_3,50.00,700.00,8,fast_trend,0,0.00,0.00,0.00,0.00,0.00
141,depth_3,50.00,700.00,8,trend_overcame,12,0.02,-28045.92,-336551.00,90.71,700.45
141,depth_3,50.00,700.00,8,eod_incomplete,58,0.10,-2155.08,-124994.50,94.67,219.15
141,depth_3,50.00,700.00,8,data_end,0,0.00,0.00,0.00,0.00,0.00
19,depth_3,10.00,88.00,8,clean_rotation,7807,0.51,199.54,1557805.50,40.61,14.46
19,depth_3,10.00,88.00,8,martingale_save,6781,0.44,193.96,1315227.00,20.55,52.49
19,depth_3,10.00,88.00,8,fast_trend,0,0.00,0.00,0.00,0.00,0.00
19,depth_3,10.00,88.00,8,trend_overcame,743,0.05,-3561.02,-2645839.00,16.13,88.33
19,depth_3,10.00,88.00,8,eod_incomplete,58,0.00,-323.58,-18767.50,19.73,38.73
19,depth_3,10.00,88.00,8,data_end,0,0.00,0.00,0.00,0.00,0.00
23,depth_3,10.00,210.00,8,clean_rotation,6610,0.51,199.68,1319875.00,40.64,14.64
23,depth_3,10.00,210.00,8,martingale_save,6115,0.47,192.06,1174429.00,20.24,57.26
23,depth_3,10.00,210.00,8,fast_trend,0,0.00,0.00,0.00,0.00,0.00
23,depth_3,10.00,210.00,8,trend_overcame,262,0.02,-8438.53,-2210896.00,17.06,210.26
23,depth_3,10.00,210.00,8,eod_incomplete,58,0.00,-589.06,-34165.50,17.62,46.73
23,depth_3,10.00,210.00,8,data_end,0,0.00,0.00,0.00,0.00,0.00
