trade_id,mode,datetime,direction,touch_type,source_label,touch_sequence,F10_raw,F04_raw,F01_raw,F21_raw,F10_bin,F04_bin,F01_bin,F21_bin,F10_points,F04_points,F01_points,F21_points,acal_score,score_margin,trend_slope,trend_label,sbb_label,session,entry_bar_index,entry_price,stop_price,t1_target_price,t2_target_price,leg1_exit_type,leg1_exit_price,leg1_exit_bar,leg1_pnl_ticks,leg2_exit_type,leg2_exit_price,leg2_exit_bar,leg2_pnl_ticks,weighted_pnl,bars_held,mfe_ticks,mae_ticks,slippage_ticks,latency_ms
ZB_0001,WTNT,12/15/2025 14:58:35,SHORT,SUPPLY_EDGE,15m,4,38.0000,PRIOR_HELD,15m,177.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,96.000000,WT,NORMAL,RTH,997,25398.75,25458.75,25383.75,25378.75,TARGET_1,25383.75,1001,60.00,TARGET_2,25378.75,1001,80.00,63.6000,5,85.00,25.00,0.0,0
ZB_0002,CT,12/17/2025 18:14:55,LONG,DEMAND_EDGE,30m,2,215.0000,PRIOR_HELD,30m,53.0000,0,1,2,1,10.0000,2.9700,3.4400,2.2100,18.6200,1.9600,-54.000000,CT,NORMAL,ETH,5865,24963.50,24916.00,24973.50,24983.50,TARGET_1,24973.50,5873,40.00,STOP,24916.00,5880,-190.00,-38.9000,16,56.00,223.00,0.0,0
ZB_0003,WTNT,12/18/2025 12:58:54,SHORT,SUPPLY_EDGE,30m,2,197.0000,PRIOR_HELD,30m,263.0000,0,1,2,1,10.0000,2.9700,3.4400,2.2100,18.6200,1.9600,65.000000,WT,NORMAL,RTH,7709,25350.00,25410.00,25335.00,25330.00,TARGET_1,25335.00,7720,60.00,TARGET_2,25330.00,7720,80.00,63.6000,12,81.00,27.00,0.0,0
ZB_0004,WTNT,12/18/2025 13:09:04,SHORT,SUPPLY_EDGE,30m,3,197.0000,PRIOR_HELD,30m,301.0000,0,1,2,1,10.0000,2.9700,3.4400,2.2100,18.6200,1.9600,98.000000,WT,NORMAL,RTH,7747,25346.25,25406.25,25331.25,25326.25,TARGET_1,25331.25,7905,60.00,TIMECAP,25329.50,7906,67.00,59.3100,160,84.00,224.00,0.0,0
ZB_0005,WTNT,12/18/2025 15:35:00,SHORT,SUPPLY_EDGE,60m,4,153.0000,NO_PRIOR,60m,964.0000,0,2,1,2,10.0000,5.9400,1.7200,0.0000,17.6600,1.0000,181.000000,WT,NORMAL,RTH,8289,25321.00,25381.00,25306.00,25301.00,TARGET_1,25306.00,8299,60.00,TARGET_2,25301.00,8302,80.00,63.6000,14,92.00,24.00,0.0,0
ZB_0006,CT,12/19/2025 08:32:04,LONG,DEMAND_EDGE,90m,2,96.0000,PRIOR_HELD,90m,153.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-236.000000,CT,NORMAL,ETH,8803,25305.75,25258.25,25315.75,25325.75,TARGET_1,25315.75,8806,40.00,TARGET_2,25325.75,8808,80.00,50.2000,6,92.00,54.00,0.0,0
ZB_0007,CT,12/19/2025 11:55:58,LONG,DEMAND_EDGE,30m,2,57.0000,PRIOR_HELD,30m,141.0000,0,1,2,1,10.0000,2.9700,3.4400,2.2100,18.6200,1.9600,-98.000000,CT,NORMAL,RTH,9789,25510.75,25463.25,25520.75,25530.75,TARGET_1,25520.75,9802,40.00,TARGET_2,25530.75,9804,80.00,50.2000,16,83.00,35.00,0.0,0
ZB_0008,WTNT,12/22/2025 11:50:44,SHORT,SUPPLY_EDGE,15m,2,131.0000,PRIOR_HELD,15m,27.0000,0,1,1,0,10.0000,2.9700,1.7200,4.4200,19.1100,2.4500,23.000000,WT,NORMAL,RTH,11373,25704.00,25764.00,25689.00,25684.00,TARGET_1,25689.00,11471,60.00,TIMECAP,25702.00,11532,8.00,39.8400,160,70.00,93.00,0.0,0
ZB_0009,WTNT,12/22/2025 14:24:05,LONG,DEMAND_EDGE,15m,2,149.0000,NO_PRIOR,15m,73.0000,0,2,1,1,10.0000,5.9400,1.7200,2.2100,19.8700,3.2100,24.000000,WT,NORMAL,RTH,11671,25694.75,25634.75,25709.75,25714.75,TARGET_1,25709.75,11685,60.00,TIMECAP,25697.75,11830,12.00,41.1600,160,70.00,62.00,0.0,0
ZB_0010,WTNT,12/24/2025 12:59:37,LONG,DEMAND_EDGE,30m,2,96.0000,PRIOR_BROKE,30m,33.0000,0,0,2,0,10.0000,0.0000,3.4400,4.4200,17.8600,1.2000,12.000000,WT,SBB,RTH,13825,25880.25,25820.25,25895.25,25900.25,TARGET_1,25895.25,13857,60.00,TARGET_2,25900.25,13865,80.00,63.6000,41,91.00,111.00,0.0,0
ZB_0011,WTNT,12/26/2025 12:30:49,SHORT,SUPPLY_EDGE,15m,3,70.0000,NO_PRIOR,15m,145.0000,0,2,1,1,10.0000,5.9400,1.7200,2.2100,19.8700,3.2100,14.000000,WT,NORMAL,RTH,14479,25878.75,25938.75,25863.75,25858.75,TARGET_1,25863.75,14487,60.00,TARGET_2,25858.75,14539,80.00,63.6000,61,80.00,15.00,0.0,0
ZB_0012,CT,1/2/2026 15:55:00,LONG,DEMAND_EDGE,120m,2,56.0000,PRIOR_HELD,120m,219.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-103.000000,CT,NORMAL,RTH,20668,25377.75,25330.25,25387.75,25397.75,TARGET_1,25387.75,20692,40.00,TARGET_2,25397.75,20734,80.00,50.2000,67,81.00,63.00,0.0,0
ZB_0013,CT,1/4/2026 21:37:37,LONG,DEMAND_EDGE,30m,2,15.0000,PRIOR_BROKE,30m,35.0000,0,0,2,0,10.0000,0.0000,3.4400,4.4200,17.8600,1.2000,-58.000000,CT,NORMAL,ETH,20884,25460.00,25412.50,25470.00,25480.00,TARGET_1,25470.00,20886,40.00,TARGET_2,25480.00,20886,80.00,50.2000,3,80.00,31.00,0.0,0
ZB_0014,WTNT,1/5/2026 01:30:33,LONG,DEMAND_EDGE,30m,2,60.0000,PRIOR_BROKE,30m,36.0000,0,0,2,0,10.0000,0.0000,3.4400,4.4200,17.8600,1.2000,17.000000,WT,NORMAL,ETH,20925,25478.00,25418.00,25493.00,25498.00,TARGET_1,25493.00,20928,60.00,TARGET_2,25498.00,20929,80.00,63.6000,5,109.00,37.00,0.0,0
ZB_0015,CT,1/5/2026 09:39:04,LONG,DEMAND_EDGE,60m,2,119.0000,PRIOR_HELD,60m,222.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-84.000000,CT,NORMAL,RTH,21296,25571.00,25523.50,25581.00,25591.00,TARGET_1,25581.00,21306,40.00,TARGET_2,25591.00,21344,80.00,50.2000,49,90.00,130.00,0.0,0
ZB_0016,CT,1/5/2026 09:49:03,LONG,DEMAND_EDGE,60m,4,75.0000,NO_PRIOR,60m,334.0000,0,2,1,1,10.0000,5.9400,1.7200,2.2100,19.8700,3.2100,-114.000000,CT,NORMAL,RTH,21408,25573.75,25526.25,25583.75,25593.75,TARGET_1,25583.75,21415,40.00,TARGET_2,25593.75,21417,80.00,50.2000,10,97.00,56.00,0.0,0
ZB_0017,CT,1/5/2026 09:57:18,LONG,DEMAND_EDGE,60m,5,75.0000,NO_PRIOR,60m,398.0000,0,2,1,1,10.0000,5.9400,1.7200,2.2100,19.8700,3.2100,-54.000000,CT,NORMAL,RTH,21472,25572.75,25525.25,25582.75,25592.75,TARGET_1,25582.75,21473,40.00,TARGET_2,25592.75,21480,80.00,50.2000,9,89.00,20.00,0.0,0
ZB_0018,CT,1/5/2026 10:01:29,LONG,DEMAND_EDGE,90m,6,75.0000,PRIOR_HELD,90m,395.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-111.000000,CT,NORMAL,RTH,21498,25572.50,25525.00,25582.50,25592.50,TARGET_1,25582.50,21499,40.00,TARGET_2,25592.50,21500,80.00,50.2000,3,102.00,26.00,0.0,0
ZB_0019,CT,1/5/2026 14:39:33,LONG,DEMAND_EDGE,60m,8,75.0000,NO_PRIOR,60m,1259.0000,0,2,1,2,10.0000,5.9400,1.7200,0.0000,17.6600,1.0000,-158.000000,CT,NORMAL,RTH,22333,25570.50,25523.00,25580.50,25590.50,TARGET_1,25580.50,22366,40.00,TARGET_2,25590.50,22408,80.00,50.2000,76,85.00,84.00,0.0,0
ZB_0020,CT,1/7/2026 09:05:21,LONG,DEMAND_EDGE,30m,2,22.0000,PRIOR_BROKE,30m,31.0000,0,0,2,0,10.0000,0.0000,3.4400,4.4200,17.8600,1.2000,-39.000000,CT,NORMAL,ETH,24610,25767.25,25719.75,25777.25,25787.25,TARGET_1,25777.25,24618,40.00,TARGET_2,25787.25,24630,80.00,50.2000,21,80.00,23.00,0.0,0
ZB_0021,WTNT,1/7/2026 20:22:10,SHORT,SUPPLY_EDGE,30m,2,55.0000,PRIOR_BROKE,30m,35.0000,0,0,2,0,10.0000,0.0000,3.4400,4.4200,17.8600,1.2000,25.000000,WT,NORMAL,ETH,26275,25829.75,25889.75,25814.75,25809.75,TARGET_1,25814.75,26290,60.00,TARGET_2,25809.75,26290,80.00,63.6000,16,82.00,43.00,0.0,0
ZB_0022,CT,1/8/2026 14:11:06,LONG,DEMAND_EDGE,15m,7,107.0000,NO_PRIOR,15m,867.0000,0,2,1,2,10.0000,5.9400,1.7200,0.0000,17.6600,1.0000,-152.000000,CT,NORMAL,RTH,27903,25620.75,25573.25,25630.75,25640.75,TARGET_1,25630.75,27931,40.00,TARGET_2,25640.75,27933,80.00,50.2000,31,88.00,103.00,0.0,0
ZB_0023,CT,1/13/2026 12:23:57,SHORT,SUPPLY_EDGE,90m,24,161.0000,NO_PRIOR,90m,33888.0000,0,2,1,2,10.0000,5.9400,1.7200,0.0000,17.6600,1.0000,-81.000000,CT,NORMAL,RTH,33504,25983.25,26030.75,25973.25,25963.25,TARGET_1,25973.25,33507,40.00,TARGET_2,25963.25,33509,80.00,50.2000,6,82.00,10.00,0.0,0
ZB_0024,CT,1/13/2026 13:59:08,LONG,DEMAND_EDGE,15m,2,154.0000,PRIOR_HELD,15m,728.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-135.000000,CT,NORMAL,RTH,33839,25840.50,25793.00,25850.50,25860.50,TARGET_1,25850.50,33844,40.00,TARGET_2,25860.50,33893,80.00,50.2000,55,91.00,77.00,0.0,0
ZB_0025,WTNT,1/13/2026 14:17:25,LONG,DEMAND_EDGE,15m,3,154.0000,NO_PRIOR,15m,790.0000,0,2,1,1,10.0000,5.9400,1.7200,2.2100,19.8700,3.2100,45.000000,WT,NORMAL,RTH,33901,25842.00,25782.00,25857.00,25862.00,TARGET_1,25857.00,33908,60.00,TARGET_2,25862.00,33914,80.00,63.6000,14,90.00,16.00,0.0,0
ZB_0026,WTNT,1/13/2026 14:26:24,LONG,DEMAND_EDGE,15m,4,154.0000,PRIOR_HELD,15m,819.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,54.000000,WT,NORMAL,RTH,33930,25843.00,25783.00,25858.00,25863.00,TARGET_1,25858.00,33932,60.00,TARGET_2,25863.00,33934,80.00,63.6000,5,87.00,11.00,0.0,0
ZB_0027,CT,1/13/2026 15:10:59,LONG,DEMAND_EDGE,15m,5,154.0000,NO_PRIOR,15m,926.0000,0,2,1,2,10.0000,5.9400,1.7200,0.0000,17.6600,1.0000,-91.000000,CT,NORMAL,RTH,34037,25843.50,25796.00,25853.50,25863.50,TARGET_1,25853.50,34129,40.00,TARGET_2,25863.50,34138,80.00,50.2000,102,90.00,161.00,0.0,0
ZB_0028,CT,1/14/2026 13:36:09,LONG,DEMAND_EDGE,15m,2,57.0000,NO_PRIOR,15m,15319.0000,0,2,1,2,10.0000,5.9400,1.7200,0.0000,17.6600,1.0000,-223.000000,CT,NORMAL,RTH,36118,25434.75,25387.25,25444.75,25454.75,TARGET_1,25444.75,36121,40.00,TARGET_2,25454.75,36141,80.00,50.2000,24,83.00,56.00,0.0,0
ZB_0029,CT,1/14/2026 14:04:15,LONG,DEMAND_EDGE,15m,2,148.0000,PRIOR_HELD,15m,50.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-47.000000,CT,NORMAL,RTH,36229,25497.00,25449.50,25507.00,25517.00,TARGET_1,25507.00,36237,40.00,TARGET_2,25517.00,36266,80.00,50.2000,38,96.00,44.00,0.0,0
ZB_0030,CT,1/14/2026 14:56:10,LONG,DEMAND_EDGE,15m,4,148.0000,NO_PRIOR,15m,162.0000,0,2,1,1,10.0000,5.9400,1.7200,2.2100,19.8700,3.2100,-111.000000,CT,NORMAL,RTH,36341,25502.75,25455.25,25512.75,25522.75,TARGET_1,25512.75,36343,40.00,TARGET_2,25522.75,36372,80.00,50.2000,32,107.00,169.00,0.0,0
ZB_0031,WTNT,1/15/2026 09:54:35,SHORT,SUPPLY_EDGE,30m,2,151.0000,PRIOR_HELD,30m,92.0000,0,1,2,1,10.0000,2.9700,3.4400,2.2100,18.6200,1.9600,10.000000,WT,NORMAL,RTH,37605,25899.25,25959.25,25884.25,25879.25,TARGET_1,25884.25,37626,60.00,TARGET_2,25879.25,37626,80.00,63.6000,22,81.00,75.00,0.0,0
ZB_0032,WTNT,1/15/2026 11:12:51,SHORT,SUPPLY_EDGE,60m,5,151.0000,PRIOR_HELD,60m,431.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,22.000000,WT,NORMAL,RTH,38074,25899.75,25959.75,25884.75,25879.75,TARGET_1,25884.75,38149,60.00,TIMECAP,25933.25,38233,-134.00,-7.0200,160,71.00,150.00,0.0,0
ZB_0033,CT,1/15/2026 12:18:46,SHORT,SUPPLY_EDGE,30m,9,151.0000,NO_PRIOR,30m,764.0000,0,2,2,1,10.0000,5.9400,3.4400,2.2100,21.5900,4.9300,-69.000000,CT,NORMAL,RTH,38277,25900.75,25948.25,25890.75,25880.75,TARGET_1,25890.75,38293,40.00,TARGET_2,25880.75,38301,80.00,50.2000,25,93.00,37.00,0.0,0
ZB_0034,CT,1/15/2026 15:39:25,LONG,DEMAND_EDGE,30m,3,67.0000,NO_PRIOR,30m,1949.0000,0,2,2,2,10.0000,5.9400,3.4400,0.0000,19.3800,2.7200,-71.000000,CT,NORMAL,RTH,38960,25694.00,25646.50,25704.00,25714.00,TARGET_1,25704.00,38962,40.00,TARGET_2,25714.00,38971,80.00,50.2000,12,86.00,28.00,0.0,0
ZB_0035,WTNT,1/16/2026 09:01:16,SHORT,SUPPLY_EDGE,30m,2,217.0000,PRIOR_BROKE,30m,42.0000,0,0,2,0,10.0000,0.0000,3.4400,4.4200,17.8600,1.2000,25.000000,WT,SBB,ETH,39396,25834.25,25894.25,25819.25,25814.25,TIMECAP,25866.25,39555,-128.00,TIMECAP,25866.25,39555,-128.00,-131.0000,160,45.00,227.00,0.0,0
ZB_0036,CT,1/20/2026 15:59:52,LONG,DEMAND_EDGE,15m,2,103.0000,PRIOR_HELD,15m,86.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-37.000000,CT,NORMAL,RTH,44388,25131.25,25083.75,25141.25,25151.25,TARGET_1,25141.25,44400,40.00,TARGET_2,25151.25,44415,80.00,50.2000,28,86.00,16.00,0.0,0
ZB_0037,CT,1/20/2026 16:33:16,LONG,DEMAND_EDGE,15m,4,103.0000,PRIOR_HELD,15m,164.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-68.000000,CT,NORMAL,ETH,44466,25130.00,25082.50,25140.00,25150.00,TARGET_1,25140.00,44474,40.00,TARGET_2,25150.00,44481,80.00,50.2000,16,88.00,30.00,0.0,0
ZB_0038,CT,1/22/2026 07:23:34,SHORT,SUPPLY_EDGE,15m,2,204.0000,PRIOR_HELD,15m,28.0000,0,1,1,0,10.0000,2.9700,1.7200,4.4200,19.1100,2.4500,-17.000000,CT,NORMAL,ETH,47969,25687.00,25734.50,25677.00,25667.00,TARGET_1,25677.00,47971,40.00,STOP,25734.50,48037,-190.00,-38.9000,69,63.00,198.00,0.0,0
ZB_0039,WTNT,1/22/2026 12:08:26,SHORT,SUPPLY_EDGE,90m,2,129.0000,NO_PRIOR,90m,496.0000,0,2,1,1,10.0000,5.9400,1.7200,2.2100,19.8700,3.2100,41.000000,WT,NORMAL,RTH,49019,25688.50,25748.50,25673.50,25668.50,TARGET_1,25673.50,49037,60.00,TARGET_2,25668.50,49049,80.00,63.6000,31,105.00,22.00,0.0,0
ZB_0040,WTNT,1/22/2026 12:30:38,SHORT,SUPPLY_EDGE,90m,4,129.0000,PRIOR_HELD,90m,560.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,16.000000,WT,NORMAL,RTH,49083,25691.50,25751.50,25676.50,25671.50,TIMECAP,25692.50,49242,-4.00,TIMECAP,25692.50,49242,-4.00,-7.0000,160,48.00,128.00,0.0,0
ZB_0041,CT,1/22/2026 13:54:01,SHORT,SUPPLY_EDGE,90m,6,161.0000,PRIOR_HELD,90m,739.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-61.000000,CT,NORMAL,RTH,49262,25687.75,25735.25,25677.75,25667.75,TARGET_1,25677.75,49269,40.00,TARGET_2,25667.75,49275,80.00,50.2000,14,83.00,17.00,0.0,0
ZB_0042,CT,1/22/2026 14:03:32,SHORT,SUPPLY_EDGE,90m,7,161.0000,PRIOR_HELD,90m,766.0000,0,1,1,1,10.0000,2.9700,1.7200,2.2100,16.9000,0.2400,-65.000000,CT,NORMAL,RTH,49289,25691.25,25738.75,25681.25,25671.25,TARGET_1,25681.25,49359,40.00,TARGET_2,25671.25,49370,80.00,50.2000,82,82.00,96.00,0.0,0
ZB_0043,CT,1/28/2026 07:48:57,SHORT,SUPPLY_EDGE,30m,2,27.0000,PRIOR_BROKE,30m,33.0000,0,0,2,0,10.0000,0.0000,3.4400,4.4200,17.8600,1.2000,-18.000000,CT,NORMAL,ETH,55548,26299.25,26346.75,26289.25,26279.25,TARGET_1,26289.25,55548,40.00,TARGET_2,26279.25,55561,80.00,50.2000,14,94.00,27.00,0.0,0
ZB_0044,CT,1/29/2026 06:58:30,SHORT,SUPPLY_EDGE,30m,2,68.0000,PRIOR_BROKE,30m,26.0000,0,0,2,0,10.0000,0.0000,3.4400,4.4200,17.8600,1.2000,-26.000000,CT,NORMAL,ETH,57559,26206.00,26253.50,26196.00,26186.00,TARGET_1,26196.00,57568,40.00,TARGET_2,26186.00,57573,80.00,50.2000,15,112.00,63.00,0.0,0
